Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
458,14,455,30.0,3,3,1,119.0,78.4740613,17.360589,2833,1,7,1,14.0,37,119,187,2.0
459,9,456,10.0,0,8,25,13.0,72.8773928,19.0759899,4855,1,11,1,26.0,58,19,19,20.0
460,36,457,4.0,5,3,1,11.0,77.590082,12.9767936,3584,1,10,1,130.0,71,119,187,96.0
461,8,458,4.0,16,3,1,11.0,77.2219388,28.6517178,3400,1,21,1,130.0,12,119,187,96.0
462,26,31,21.0,0,19,19,,72.8773928,19.0759899,1617,1,9,16,15.0,58,21,8,
463,0,459,24.0,0,21,16,94.0,72.8773928,19.0759899,4164,1,26,1,6.0,58,6,8,4.0
464,33,460,6.0,0,5,1,27.0,72.8773928,19.0759899,5777,1,18,1,43.0,58,57,187,33.0
465,29,461,4.0,4,3,1,11.0,73.8544541,18.521428,4016,1,22,1,130.0,45,119,187,96.0
466,7,462,1.0,79,1,25,20.0,72.9249,19.0637885,3170,1,38,1,35.0,2,74,19,2.0
467,7,463,30.0,5,3,1,106.0,77.590082,12.9767936,4922,1,38,1,14.0,71,119,187,2.0
468,27,464,5.0,17,1,17,17.0,77.3271074,28.5707841,5866,1,6,1,10.0,22,74,18,35.0
72,16,465,4.0,3,3,1,11.0,78.4740613,17.360589,1515,2,10,1,130.0,37,119,187,96.0
469,33,466,27.0,2,26,1,73.0,77.00270015,28.42826235,1946,1,18,1,6.0,38,7,187,2.0
470,1,467,6.0,18,5,1,27.0,88.35769124,22.5414185,1511,1,32,1,43.0,32,57,187,33.0
